,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
A84,Encefalitis Viral Transmitida Por Garrapatas,A840,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa]
A84,Encefalitis Viral Transmitida Por Garrapatas,A841,Encefalitis centroeuropea transmitida por garrapatas
A84,Encefalitis Viral Transmitida Por Garrapatas,A848,Otras encefalitis virales transmitida por garrapatas
A84,Encefalitis Viral Transmitida Por Garrapatas,A849,"Encefalitis viral transmitida por garrapatas, sin otra especificacion"
A85,"Otras Encefalitis Virales, No Clasificadas En Otra Parte",A850,Encefalitis enteroviral
A85,"Otras Encefalitis Virales, No Clasificadas En Otra Parte",A851,Encefalitis por adenovirus
A85,"Otras Encefalitis Virales, No Clasificadas En Otra Parte",A852,"Encefalitis viral transmitida por artropodos, sin otra especifcacion"
A85,"Otras Encefalitis Virales, No Clasificadas En Otra Parte",A858,Otras encefalitis virales especifcadas
A86,"Encefalitis Viral, No Especificada",A86X,"Encefalitis viral, no especificada"
A87,Meningitis Viral,A870,Meningitis enteroviral
A87,Meningitis Viral,A871,Meningitis debida a adenovirus
A87,Meningitis Viral,A872,Coriomeningitis linfocitica
A87,Meningitis Viral,A878,Otras meningitis virales
A87,Meningitis Viral,A879,"Meningitis viral, sin otra especificacion"
A88,Otras Infecciones Virales Del Sistema Nervioso Central No Clasificadas En Otra Parte,A880,Fiebre exantematica enteroviral [exantema de Boston]
A88,Otras Infecciones Virales Del Sistema Nervioso Central No Clasificadas En Otra Parte,A881,Vertigo epidemico
A88,Otras Infecciones Virales Del Sistema Nervioso Central No Clasificadas En Otra Parte,A888,Otras infecciones virales especificadas del sistema nervioso central
A89,"Infeccion Viral Del Sistema Nervioso Central, No Especificada",A89X,"Infeccion viral del sistema nervioso central, no especificada"
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A920,Enfermedad por virus Chikungunya
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A921,Fiebre de O'nyong-nyong
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A922,Fiebre equina venezolana
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A923,Infeccion por virus del oeste del Nilo
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A924,Fiebre del valle del Rift
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A925,Enfermedad por virus Zika
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A928,Otras fiebres virales especificadas transmitidas por mosquitos
A92,Otras Fiebres Virales Transmitidas Por Mosquitos,A929,"Fiebre viral transmitida por mosquito, sin otra especificacion"
A93,"Otras Fiebre Virales Transmitidas Por Artropodos, No Clasificadas En Otra Parte",A930,Enfermedad por virus de  Oropouche
A93,"Otras Fiebre Virales Transmitidas Por Artropodos, No Clasificadas En Otra Parte",A931,Fiebre transmitida por flebotomos
A93,"Otras Fiebre Virales Transmitidas Por Artropodos, No Clasificadas En Otra Parte",A932,Fiebre de Colorado transmitida por garrapatas
A93,"Otras Fiebre Virales Transmitidas Por Artropodos, No Clasificadas En Otra Parte",A938,Otras fiebres virales especificadas transmitidas por artropodos
A94,"Fiebre Viral Transmitida Por Artropodos, No Especificada",A94X,"Fiebre viral transmitida por artropodos, no especificada"
A95,Fiebre Amarilla,A950,Fiebre amarilla selvatica
A95,Fiebre Amarilla,A951,Fiebre amarilla urbana
A95,Fiebre Amarilla,A959,"Fiebre amarilla, no especificada"
A96,Fiebre Hemorragica Por Arenavirus,A960,Fiebre hemorragica de Junin
A96,Fiebre Hemorragica Por Arenavirus,A961,Fiebre hemorragica de Machupo
A96,Fiebre Hemorragica Por Arenavirus,A962,Fiebre de Lassa
A96,Fiebre Hemorragica Por Arenavirus,A968,Otras fiebres hemorragicas por arenavirus
A96,Fiebre Hemorragica Por Arenavirus,A969,"Fiebre hemorragica por arenavirus, sin otra especificacion"
A97,Dengue,A970,Dengue sin signos de alarma
A97,Dengue,A971,Dengue con signos de alarma
A97,Dengue,A972,Dengue severo
A97,Dengue,A979,Dengue no especificado
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A980,Fiebre hemorragica de Crimea-Congo
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A981,Fiebre hemorragica de Omsk
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A982,Enfermedad de la selva Kyasanur
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A983,Enfermedad por el virus de Marburg
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A984,Enfermedad por el virus de Ebola
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A985,Fiebres hemorragicas con sindrome renal
A98,"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte",A988,Otras fiebres hemorragicas virales especificadas
A99,"Fiebre Viral Hemorragica, No Especificada",A99X,"Fiebre viral hemorragica, no especificada"
B00,Infecciones Herpeticas [ Herpes Simple ],B000,Eczema herpetico
B00,Infecciones Herpeticas [ Herpes Simple ],B001,Dermatitis vesicular herpetica
B00,Infecciones Herpeticas [ Herpes Simple ],B002,Gingivoestomatitis y faringoamigdalitis herpetica
B00,Infecciones Herpeticas [ Herpes Simple ],B003,Meningitis herpetica
B00,Infecciones Herpeticas [ Herpes Simple ],B004,Encefalitis herpetica
B00,Infecciones Herpeticas [ Herpes Simple ],B005,Oculopatia herpetica
B00,Infecciones Herpeticas [ Herpes Simple ],B007,Enfermedad herpetica diseminada
B00,Infecciones Herpeticas [ Herpes Simple ],B008,Otras formas de infecciones herpeticas
B00,Infecciones Herpeticas [ Herpes Simple ],B009,"Infeccion debida al virus del herpes, no especificada"
B01,Varicela,B010,Meningitis debida a varicela
B01,Varicela,B011,Encefalitis debida a varicela
B01,Varicela,B012,Neumonia debida a varicela
B01,Varicela,B018,Varicela con otras complicaciones
B01,Varicela,B019,Varicela sin complicaciones
B02,Herpes Zoster,B020,Encefalitis debida a herpes zoster
B02,Herpes Zoster,B021,Meningitis debida a herpes zoster
B02,Herpes Zoster,B022,Herpes zoster con otros compromisos del sistema nervioso
B02,Herpes Zoster,B023,Herpes zoster ocular
B02,Herpes Zoster,B027,Herpes zoster diseminado
B02,Herpes Zoster,B028,Herpes zoster con otras complicaciones
B02,Herpes Zoster,B029,Herpes zoster sin complicaciones
B03,Viruela,B03X,Viruela
B04,Viruela De Los Monos,B04X,Viruela de los monos
B05,Sarampion,B050,Sarampion complicado con encefalitis
B05,Sarampion,B051,Sarampion complicado con meningitis
B05,Sarampion,B052,Sarampion complicado con neumonia
B05,Sarampion,B053,Sarampion complicado con otitis media
B05,Sarampion,B054,Sarampion con complicaciones intestinales
B05,Sarampion,B058,Sarampion con otras complicaciones
B05,Sarampion,B059,Sarampion sin complicaciones
B06,Rubeola [ Sarampion Aleman ],B060,Rubeola con complicaciones neurologicas
B06,Rubeola [ Sarampion Aleman ],B068,Rubeola con otras complicaciones
B06,Rubeola [ Sarampion Aleman ],B069,Rubeola sin complicaciones
B07,Verrugas Viricas,B07X,Verrugas viricas
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B080,Otras infecciones debidas a ortopoxvirus
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B081,Molusco contagioso
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B082,Exantema subito [sexta enfermedad]
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B083,Eritema infeccioso [quinta enfermedad]
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B084,Estomatitis vesicular enteroviral con exantema
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B085,Faringitis vesicular enterovirica
B08,"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte",B088,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas"
B09,"Infeccion Viral No Especificada, Caracterizada Por Lesiones De La Piel Y De Las Membranas Mucosas",B09X,"Infeccion viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
B15,Hepatitis Aguda Tipo A,B150,"Hepatitis aguda tipo A, con coma hepatico"
B15,Hepatitis Aguda Tipo A,B159,"Hepatitis aguda tipo A, sin coma hepatico"
B16,Hepatitis Aguda Tipo B,B160,"Hepatitis aguda tipo B, con agente delta (coinfeccion), con coma hepatico"
B16,Hepatitis Aguda Tipo B,B161,"Hepatitis aguda tipo B, con agente delta (coinfeccion), sin coma hepatico"
B16,Hepatitis Aguda Tipo B,B162,"Hepatitis aguda tipo B, sin agente delta, con coma hepatico"
B16,Hepatitis Aguda Tipo B,B169,"Hepatitis aguda tipo B, sin agente delta y sin coma hepatico"
B17,Otras Hepatitis Virales Agudas,B170,Infeccion (superinfeccion) aguda por agente delta en la hepatitis B cronica
B17,Otras Hepatitis Virales Agudas,B171,Hepatitis aguda tipo C
B17,Otras Hepatitis Virales Agudas,B172,Hepatitis aguda tipo E
B17,Otras Hepatitis Virales Agudas,B178,Otras hepatitis virales agudas especificadas
B17,Otras Hepatitis Virales Agudas,B179,Hepatitis viral aguda no especificada
B18,Hepatitis Viral Cronica,B180,"Hepatitis viral tipo B cronica, con agente delta"
B18,Hepatitis Viral Cronica,B181,"Hepatitis viral tipo B cronica, sin agente delta"
B18,Hepatitis Viral Cronica,B182,Hepatitis viral tipo C cronica
B18,Hepatitis Viral Cronica,B188,Otras hepatitis virales cronicas
B18,Hepatitis Viral Cronica,B189,"Hepatitis viral cronica, sin otra especificacion"
B19,Hepatitis Viral Sin Otra Especificacion,B190,Hepatitis viral no especificada con coma hepatico
B19,Hepatitis Viral Sin Otra Especificacion,B199,Hepatitis viral no especificada sin coma hepatico
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B200,"Enfermedad por VIH, resultante en infeccion por micobacterias"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B201,"Enfermedad por VIH, resultante en otras infecciones bacterianas"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B202,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B203,"Enfermedad por VIH, resultante en otras infecciones virales"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B204,"Enfermedad por VIH, resultante en candidiasis"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B205,"Enfermedad por VIH, resultante en otras micosis"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B206,"Enfermedad por VIH, resultante en neumonia por Pneumocystis carinii"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B207,"Enfermedad por VIH, resultante en infecciones multiples"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B208,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias"
B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",B209,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B210,"Enfermedad por VIH, resultante en sarcoma de Kaposi"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B211,"Enfermedad por VIH, resultante en linfoma de Burkitt"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B212,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B213,"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyetico y tejidos relacionados"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B217,"Enfermedad por VIH, resultante en tumores malignos multiples"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B218,"Enfermedad por VIH, resultante en otros tumores malignos"
B21,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos",B219,"Enfermedad por VIH, resultante en tumores malignos no especificados"
B22,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Enfermedades Especificadas",B220,"Enfermedad por VIH, resultante en encefalopatia"
B22,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Enfermedades Especificadas",B221,"Enfermedad por VIH, resultante en neumonitis linfoide intersticial"
B22,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Enfermedades Especificadas",B222,"Enfermedad por VIH, resultante en sindrome caquectico"
B22,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Enfermedades Especificadas",B227,"Enfermedad por VIH, resultante en enfermedades multiples clasificadas en otra parte"
B23,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Afecciones",B230,Sindrome de infeccion aguda debida a VIH
B23,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Afecciones",B231,"Enfermedad por VIH, resultante en linfadenopatia generalizada (persistente)"
B23,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Afecciones",B232,"Enfermedad por VIH, resultante en anormalidades inmunologicas y hematologicas, no clasificadas en otra parte"
B23,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Afecciones",B238,"Enfermedad por VIH, resultante en otras afecciones especificadas"
B24,"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Sin Otra Especificacion",B24X,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificacion"
B25,Enfermedad Debida A Virus Citomegalico,B250,Neumonitis debida a virus citomegalico
B25,Enfermedad Debida A Virus Citomegalico,B251,Hepatitis debida a virus citomegalico
B25,Enfermedad Debida A Virus Citomegalico,B252,Pancreatitis debida a virus citomegalico
B25,Enfermedad Debida A Virus Citomegalico,B258,Otras enfermedades debidas a virus citomegalico
B25,Enfermedad Debida A Virus Citomegalico,B259,"Enfermedad por virus citomegalico, no especificada"
B26,Parotiditis Infecciosa,B260,Orquitis por parotiditis
B26,Parotiditis Infecciosa,B261,Meningitis por parotiditis
B26,Parotiditis Infecciosa,B262,Encefalitis por parotiditis
B26,Parotiditis Infecciosa,B263,Pancreatitis por parotiditis
B26,Parotiditis Infecciosa,B268,Parotiditis infecciosa con otras complicaciones
B26,Parotiditis Infecciosa,B269,"Parotiditis, sin complicaciones"
B27,Mononucleosis Infecciosa,B270,Mononucleosis debida a herpes virus gamma
B27,Mononucleosis Infecciosa,B271,Mononucleosis por citomegalovirus
B27,Mononucleosis Infecciosa,B278,Otras mononucleosis infecciosas
B27,Mononucleosis Infecciosa,B279,"Mononucleosis infecciosa, no especificada"
B30,Conjuntivitis Viral,B300,Queratoconjuntivitis debida a adenovirus
B30,Conjuntivitis Viral,B301,Conjuntivitis debida a adenovirus
B30,Conjuntivitis Viral,B302,Faringoconjuntivitis viral
B30,Conjuntivitis Viral,B303,Conjuntivitis epidemica aguda hemorragica (enterovirica)
B30,Conjuntivitis Viral,B308,Otras conjuntivitis virales
B30,Conjuntivitis Viral,B309,"Conjuntivitis viral, sin otra especificacion"
B33,"Otras Enfermedades Virales, No Clasificadas En Otra Parte",B330,Mialgia epidemica
B33,"Otras Enfermedades Virales, No Clasificadas En Otra Parte",B331,Enfermedad del rio Ross
B33,"Otras Enfermedades Virales, No Clasificadas En Otra Parte",B332,Carditis viral
B33,"Otras Enfermedades Virales, No Clasificadas En Otra Parte",B333,"Infecciones debidas a retrovirus, no clasificadas en otra parte"
B33,"Otras Enfermedades Virales, No Clasificadas En Otra Parte",B334,Sindrome (cardio) pulmonar por hantavirus [SPH] [SCPH] 
B33,"Otras Enfermedades Virales, No Clasificadas En Otra Parte",B338,Otras enfermedades virales especificadas
B34,Infeccion Viral De Sitio No Especificado,B340,"Infeccion debida a adenovirus, sin otra especificacion"
B34,Infeccion Viral De Sitio No Especificado,B341,"Infeccion debida a enterovirus, sin otra especificacion"
B34,Infeccion Viral De Sitio No Especificado,B342,"Infeccion debida a Coronavirus, sin otra especificacion"
B34,Infeccion Viral De Sitio No Especificado,B343,"Infeccion debida a Parvovirus, sin otra especificacion"
B34,Infeccion Viral De Sitio No Especificado,B344,"Infeccion debida a Papovavirus, sin otra especificacion"
B34,Infeccion Viral De Sitio No Especificado,B348,Otras infecciones virales de sitio no especificado
B34,Infeccion Viral De Sitio No Especificado,B349,"Infeccion viral, no especificada"
